date,temperature_day,pressure_day,temperature_evening,pressure_evening,cloudiness_day_clear,cloudiness_day_partly_cloudy,cloudiness_day_variable,cloudiness_day_overcast,cloudiness_evening_clear,cloudiness_evening_partly_cloudy,cloudiness_evening_variable,cloudiness_evening_overcast,wind_speed_day,wind_direction_day_n,wind_direction_day_ne,wind_direction_day_e,wind_direction_day_se,wind_direction_day_s,wind_direction_day_sw,wind_direction_day_w,wind_direction_day_nw,wind_speed_evening,wind_direction_evening_n,wind_direction_evening_ne,wind_direction_evening_e,wind_direction_evening_se,wind_direction_evening_s,wind_direction_evening_sw,wind_direction_evening_w,wind_direction_evening_nw,temperature_day_fahrenheit,temperature_evening_fahrenheit
2012-01-01,-5.0,753.0,-5.0,752,0,0,0,1,0,0,0,1,2.0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,23.0,23.0
2012-01-02,-6.0,751.0,-7.0,750,0,0,0,1,0,0,1,0,2.0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,21.2,19.4
2012-01-03,-6.0,752.0,-9.0,752,0,0,1,0,0,0,1,0,1.0,0,0,1,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0,21.2,15.8
2012-01-04,-11.0,749.0,-9.0,749,0,0,0,1,0,0,0,1,2.0,0,0,0,0,1,0,0,0,2.0,0,0,0,0,1,0,0,0,12.2,15.8
2012-01-05,-4.0,749.0,-2.0,749,0,0,0,1,0,0,0,1,2.0,0,0,0,0,1,0,0,0,2.0,0,0,0,0,1,0,0,0,24.8,28.4
2012-01-06,-1.0,754.0,-5.0,755,0,0,0,1,1,0,0,0,3.0,0,0,0,0,1,0,0,0,3.0,0,0,0,0,1,0,0,0,30.2,23.0
2012-01-07,-8.0,756.0,-9.0,758,0,0,0,1,0,0,1,0,2.0,0,0,0,1,0,0,0,0,2.0,0,0,0,1,0,0,0,0,17.6,15.8
2012-01-08,-10.0,759.0,-12.0,759,1,0,0,0,1,0,0,0,3.0,0,0,0,1,0,0,0,0,3.0,0,0,0,1,0,0,0,0,14.0,10.399999999999999
2012-01-09,-11.0,758.0,-12.0,757,1,0,0,0,1,0,0,0,4.0,0,0,1,0,0,0,0,0,4.0,0,0,1,0,0,0,0,0,12.2,10.399999999999999
2012-01-10,-11.0,753.0,-11.0,752,1,0,0,0,0,0,1,0,2.0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,12.2,12.2
2012-01-11,-10.0,750.0,-12.0,750,0,1,0,0,0,0,1,0,1.0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,1,0,0,14.0,10.399999999999999
2012-01-12,-10.0,749.0,-8.0,748,0,0,0,1,0,0,1,0,2.0,0,0,0,0,1,0,0,0,2.0,0,0,0,0,1,0,0,0,14.0,17.6
2012-01-13,-4.0,747.0,-4.0,747,0,0,0,1,0,0,0,1,2.0,0,0,0,0,1,0,0,0,2.0,0,0,0,0,1,0,0,0,24.8,24.8
2012-01-14,-3.0,749.0,-4.0,750,0,0,0,1,0,0,0,1,2.0,0,0,0,1,0,0,0,0,2.0,0,0,0,1,0,0,0,0,26.6,24.8
2012-01-15,-3.0,754.0,-4.0,755,0,0,0,1,0,0,0,1,2.0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,26.6,24.8
2012-01-16,-6.0,754.0,-6.0,753,0,0,0,1,0,0,0,1,3.0,0,0,0,1,0,0,0,0,3.0,0,0,0,1,0,0,0,0,21.2,21.2
2012-01-17,-4.0,754.0,-4.0,757,0,0,0,1,0,0,0,1,4.0,0,0,0,1,0,0,0,0,4.0,0,0,0,1,0,0,0,0,24.8,24.8
2012-01-18,-7.0,758.0,-9.0,758,0,1,0,0,0,1,0,0,4.0,0,0,1,0,0,0,0,0,4.0,0,0,1,0,0,0,0,0,19.4,15.8
2012-01-19,-11.0,762.0,-14.0,762,0,0,0,1,0,0,1,0,2.0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,12.2,6.800000000000001
2012-01-20,-13.0,764.0,-15.0,764,1,0,0,0,1,0,0,0,2.0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,8.600000000000001,5.0
2012-01-21,-14.0,769.0,-15.0,769,1,0,0,0,1,0,0,0,2.0,0,0,0,1,0,0,0,0,2.0,0,0,0,1,0,0,0,0,6.800000000000001,5.0
2012-01-22,-12.0,769.0,-14.0,769,1,0,0,0,1,0,0,0,2.0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,10.399999999999999,6.800000000000001
2012-01-23,-9.0,767.0,-10.0,766,1,0,0,0,1,0,0,0,2.0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,15.8,14.0
2012-01-24,-6.0,763.0,-7.0,762,1,0,0,0,1,0,0,0,2.0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,21.2,19.4
2012-01-25,-6.0,764.0,-9.0,765,1,0,0,0,1,0,0,0,2.0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,21.2,15.8
2012-01-26,-8.0,770.0,-10.0,771,1,0,0,0,1,0,0,0,3.0,0,0,1,0,0,0,0,0,3.0,0,0,1,0,0,0,0,0,17.6,14.0
2012-01-27,-9.0,769.0,-10.0,767,1,0,0,0,1,0,0,0,3.0,0,1,0,0,0,0,0,0,3.0,0,1,0,0,0,0,0,0,15.8,14.0
2012-01-28,-10.0,765.0,-14.0,766,0,0,1,0,1,0,0,0,1.0,0,0,1,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0,14.0,6.800000000000001
2012-01-29,-10.0,767.0,-15.0,766,1,0,0,0,1,0,0,0,1.0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,1,14.0,5.0
2012-01-30,-16.0,766.0,-18.0,767,1,0,0,0,1,0,0,0,2.0,0,1,0,0,0,0,0,0,2.0,0,1,0,0,0,0,0,0,3.1999999999999993,-0.3999999999999986
2012-01-31,-17.0,767.0,-19.0,768,0,0,1,0,0,0,0,1,4.0,0,0,1,0,0,0,0,0,4.0,0,0,1,0,0,0,0,0,1.3999999999999986,-2.200000000000003
2012-02-01,-19.0,772.0,-21.0,773,0,0,1,0,0,1,0,0,3.0,0,0,1,0,0,0,0,0,3.0,0,0,1,0,0,0,0,0,-2.200000000000003,-5.799999999999997
2012-02-02,-19.0,772.0,-21.0,772,1,0,0,0,1,0,0,0,2.0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,-2.200000000000003,-5.799999999999997
2012-02-03,-19.0,777.0,-24.0,779,1,0,0,0,1,0,0,0,1.0,0,0,1,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0,-2.200000000000003,-11.200000000000003
2012-02-04,-15.0,776.0,-20.0,774,1,0,0,0,1,0,0,0,2.0,1,0,0,0,0,0,0,0,2.0,1,0,0,0,0,0,0,0,5.0,-4.0
2012-02-05,-14.0,770.0,-16.0,770,1,0,0,0,1,0,0,0,2.0,0,1,0,0,0,0,0,0,2.0,0,1,0,0,0,0,0,0,6.800000000000001,3.1999999999999993
2012-02-07,-13.0,769.0,-14.0,767,0,1,0,0,1,0,0,0,2.0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,8.600000000000001,6.800000000000001
2012-02-08,-13.0,760.0,-11.0,758,0,0,0,1,0,0,0,1,5.0,0,0,1,0,0,0,0,0,5.0,0,0,1,0,0,0,0,0,8.600000000000001,12.2
2012-02-09,-12.0,756.0,-16.0,758,0,0,0,1,0,1,0,0,3.0,0,0,1,0,0,0,0,0,3.0,0,0,1,0,0,0,0,0,10.399999999999999,3.1999999999999993
2012-02-10,-17.0,762.0,-18.0,762,1,0,0,0,1,0,0,0,2.0,0,0,0,1,0,0,0,0,2.0,0,0,0,1,0,0,0,0,1.3999999999999986,-0.3999999999999986
2012-02-11,-14.0,763.0,-16.0,764,0,1,0,0,1,0,0,0,2.0,0,0,0,1,0,0,0,0,2.0,0,0,0,1,0,0,0,0,6.800000000000001,3.1999999999999993
2012-02-12,-17.0,766.0,-25.0,766,1,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1.3999999999999986,-13.0
2012-02-13,-17.0,764.0,-18.0,764,0,1,0,0,0,1,0,0,1.0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,1.3999999999999986,-0.3999999999999986
2012-02-14,-13.0,764.0,-14.0,763,1,0,0,0,1,0,0,0,2.0,0,0,1,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,8.600000000000001,6.800000000000001
2012-02-15,-11.0,758.0,-14.0,757,1,0,0,0,1,0,0,0,4.0,0,0,0,1,0,0,0,0,4.0,0,0,0,1,0,0,0,0,12.2,6.800000000000001
2012-02-16,-10.0,758.0,-13.0,759,1,0,0,0,1,0,0,0,2.0,0,0,0,1,0,0,0,0,2.0,0,0,0,1,0,0,0,0,14.0,8.600000000000001
2012-02-17,-8.0,758.0,-12.0,758,1,0,0,0,1,0,0,0,3.0,0,0,1,0,0,0,0,0,3.0,0,0,1,0,0,0,0,0,17.6,10.399999999999999
2012-02-18,-9.0,760.0,-12.0,761,1,0,0,0,1,0,0,0,2.0,0,0,0,1,0,0,0,0,2.0,0,0,0,1,0,0,0,0,15.8,10.399999999999999
2012-02-19,-6.0,762.0,-11.0,763,1,0,0,0,1,0,0,0,2.0,0,0,0,0,0,0,0,1,2.0,0,0,0,0,0,0,0,1,21.2,12.2
2012-02-20,-6.0,765.0,-10.0,764,1,0,0,0,1,0,0,0,2.0,0,0,0,0,0,0,0,1,2.0,0,0,0,0,0,0,0,1,21.2,14.0
2012-02-21,-5.0,761.0,-10.0,760,1,0,0,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,1,0,23.0,14.0
