month_year,temperature_day,temperature_evening,temperature_day_fahrenheit,temperature_evening_fahrenheit
2012-01,-8.42,-9.74,16.85,14.46
2012-02,-11.25,-13.79,11.75,7.19
2012-03,-3.03,-5.16,26.54,22.71
2012-04,17.17,13.67,62.9,56.6
2012-05,22.42,17.06,72.35,62.72
2012-06,25.47,20.7,77.84,69.26
2012-07,26.45,21.39,79.61,70.5
2012-08,26.35,20.55,79.44,68.99
2012-09,17.73,13.07,63.92,55.52
2012-10,11.23,9.03,52.22,48.26
2012-11,1.5,0.7,34.7,33.26
2012-12,-7.48,-8.39,18.53,16.9
2013-01,-8.61,-10.19,16.5,13.65
2013-02,-4.86,-7.46,23.26,18.56
2013-03,-2.06,-4.55,28.28,23.81
2013-04,11.7,8.57,53.06,47.42
2013-05,22.42,17.26,72.35,63.06
2013-06,25.83,19.83,78.5,67.7
2013-07,25.77,20.39,78.39,68.7
2013-08,24.94,18.97,76.88,66.14
2013-09,15.5,12.47,59.9,54.44
2013-10,7.74,5.94,45.94,42.68
2013-11,4.53,3.07,40.16,37.52
2013-12,-4.32,-4.58,24.22,23.75
2014-01,-9.58,-10.94,14.75,12.32
2014-02,-9.5,-12.21,14.9,10.01
