month_year,temperature_day,temperature_evening,temperature_day_fahrenheit,temperature_evening_fahrenheit,temperature_day_fahrenheit_fahrenheit,temperature_evening_fahrenheit_fahrenheit
2019-01,-9.9,-10.29,14.17,13.48,57.51,56.26
2019-02,-6.29,-7.93,20.69,17.73,69.23,63.91
2019-03,1.35,-1.1,34.44,30.03,93.99,86.05
2019-04,11.77,7.97,53.18,46.34,127.72,115.41
2019-05,21.87,16.48,71.37,61.67,160.46,143.01
2019-06,24.93,19.83,76.88,67.7,170.38,153.86
2019-07,23.61,20.0,74.5,68.0,166.11,154.4
2019-08,22.06,17.77,71.72,63.99,161.09,147.19
2019-09,16.0,11.6,60.8,52.88,141.44,127.18
2019-10,11.71,9.13,53.08,48.43,127.54,119.18
2019-11,-0.77,-2.1,30.62,28.22,87.12,82.8
2019-12,-4.0,-4.68,24.8,23.58,76.64,74.45
2020-01,-2.26,-3.29,27.94,26.08,82.28,78.94
