Температура (день),Давление (день),Облачность (день),Ветер (день),Температура (вечер),Давление (вечер),Облачность (вечер),Ветер (вечер)
-4.0,745,Пасмурно,В 3м/с,-1.0,742.0,Пасмурно,В 3м/с
-5.0,743,Пасмурно,В 2м/с,-6.0,741.0,Пасмурно,В 2м/с
-3.0,734,Пасмурно,В 1м/с,0.0,734.0,Пасмурно,В 1м/с
-17.0,743,Ясно,СЗ 2м/с,-21.0,747.0,Ясно,СЗ 2м/с
-19.0,757,Ясно,С 1м/с,-21.0,759.0,Ясно,С 1м/с
-18.0,763,Ясно,Ш,-22.0,764.0,Ясно,Ш
-17.0,767,Переменная облачность,СЗ 2м/с,-21.0,767.0,Переменная облачность,СЗ 2м/с
-20.0,766,Пасмурно,В 2м/с,-17.0,764.0,Пасмурно,В 2м/с
-8.0,761,Пасмурно,Ю 1м/с,-8.0,760.0,Пасмурно,Ю 1м/с
-12.0,760,Ясно,Ш,-16.0,760.0,Ясно,Ш
-14.0,756,Пасмурно,ЮЗ 1м/с,-12.0,756.0,Пасмурно,ЮЗ 1м/с
-11.0,752,Пасмурно,ЮЗ 2м/с,-12.0,750.0,Пасмурно,ЮЗ 2м/с
-7.0,747,Пасмурно,З 3м/с,-7.0,748.0,Пасмурно,З 3м/с
-8.0,751,Переменная облачность,СЗ 2м/с,-12.0,755.0,Ясно,СЗ 2м/с
-14.0,761,Пасмурно,Ш,-16.0,761.0,Переменная облачность,Ш
-17.0,768,Ясно,Ш,-20.0,771.0,Ясно,Ш
-17.0,774,Ясно,Ш,-22.0,774.0,Ясно,Ш
-18.0,770,Малооблачно,З 2м/с,-21.0,770.0,Пасмурно,З 2м/с
-17.0,769,Переменная облачность,В 1м/с,-19.0,769.0,Малооблачно,В 1м/с
-17.0,770,Ясно,В 1м/с,-17.0,770.0,Пасмурно,В 1м/с
-15.0,767,Малооблачно,Ш,-19.0,765.0,Переменная облачность,Ш
-20.0,763,Ясно,Ш,-26.0,764.0,Ясно,Ш
-22.0,762,Ясно,Ш,-27.0,762.0,Ясно,Ш
-19.0,761,Пасмурно,Ш,-21.0,760.0,Пасмурно,Ш
-14.0,761,Пасмурно,В 2м/с,-13.0,761.0,Пасмурно,В 2м/с
