Дата,Температура (день),Давление (день),Облачность (день),Ветер (день),Температура (вечер),Давление (вечер),Облачность (вечер),Ветер (вечер)
2010-01-01,-4.0,745,Пасмурно,В 3м/с,-1.0,742.0,Пасмурно,В 3м/с
2010-01-02,-5.0,743,Пасмурно,В 2м/с,-6.0,741.0,Пасмурно,В 2м/с
2010-01-03,-3.0,734,Пасмурно,В 1м/с,0.0,734.0,Пасмурно,В 1м/с
2010-01-04,-17.0,743,Ясно,СЗ 2м/с,-21.0,747.0,Ясно,СЗ 2м/с
2010-01-05,-19.0,757,Ясно,С 1м/с,-21.0,759.0,Ясно,С 1м/с
2010-01-06,-18.0,763,Ясно,Ш,-22.0,764.0,Ясно,Ш
2010-01-07,-17.0,767,Переменная облачность,СЗ 2м/с,-21.0,767.0,Переменная облачность,СЗ 2м/с
2010-01-08,-20.0,766,Пасмурно,В 2м/с,-17.0,764.0,Пасмурно,В 2м/с
2010-01-09,-8.0,761,Пасмурно,Ю 1м/с,-8.0,760.0,Пасмурно,Ю 1м/с
2010-01-10,-12.0,760,Ясно,Ш,-16.0,760.0,Ясно,Ш
2010-01-11,-14.0,756,Пасмурно,ЮЗ 1м/с,-12.0,756.0,Пасмурно,ЮЗ 1м/с
2010-01-12,-11.0,752,Пасмурно,ЮЗ 2м/с,-12.0,750.0,Пасмурно,ЮЗ 2м/с
2010-01-13,-7.0,747,Пасмурно,З 3м/с,-7.0,748.0,Пасмурно,З 3м/с
2010-01-14,-8.0,751,Переменная облачность,СЗ 2м/с,-12.0,755.0,Ясно,СЗ 2м/с
2010-01-15,-14.0,761,Пасмурно,Ш,-16.0,761.0,Переменная облачность,Ш
2010-01-16,-17.0,768,Ясно,Ш,-20.0,771.0,Ясно,Ш
2010-01-17,-17.0,774,Ясно,Ш,-22.0,774.0,Ясно,Ш
2010-01-18,-18.0,770,Малооблачно,З 2м/с,-21.0,770.0,Пасмурно,З 2м/с
2010-01-19,-17.0,769,Переменная облачность,В 1м/с,-19.0,769.0,Малооблачно,В 1м/с
2010-01-20,-17.0,770,Ясно,В 1м/с,-17.0,770.0,Пасмурно,В 1м/с
2010-01-21,-15.0,767,Малооблачно,Ш,-19.0,765.0,Переменная облачность,Ш
2010-01-22,-20.0,763,Ясно,Ш,-26.0,764.0,Ясно,Ш
2010-01-23,-22.0,762,Ясно,Ш,-27.0,762.0,Ясно,Ш
2010-01-24,-19.0,761,Пасмурно,Ш,-21.0,760.0,Пасмурно,Ш
2010-01-25,-14.0,761,Пасмурно,В 2м/с,-13.0,761.0,Пасмурно,В 2м/с
2010-01-26,-7.0,761,Пасмурно,В 4м/с,-10.0,764.0,Пасмурно,В 4м/с
2010-01-27,-12.0,762,Малооблачно,В 3м/с,-15.0,759.0,Ясно,В 3м/с
2010-01-28,-14.0,749,Ясно,В 2м/с,-16.0,747.0,Малооблачно,В 2м/с
2010-01-29,-15.0,748,Ясно,В 1м/с,-20.0,750.0,Малооблачно,В 1м/с
2010-01-30,-16.0,750,Пасмурно,В 4м/с,-12.0,750.0,Пасмурно,В 4м/с
2010-01-31,-7.0,757,Пасмурно,В 1м/с,-7.0,758.0,Пасмурно,В 1м/с
2010-02-01,-5.0,758,Пасмурно,ЮВ 3м/с,-6.0,759.0,Малооблачно,ЮВ 3м/с
2010-02-02,-7.0,759,Пасмурно,В 3м/с,-9.0,760.0,Пасмурно,В 3м/с
2010-02-03,-11.0,764,Малооблачно,В 3м/с,-14.0,766.0,Малооблачно,В 3м/с
2010-02-04,-9.0,772,Ясно,В 2м/с,-12.0,773.0,Ясно,В 2м/с
2010-02-05,-9.0,770,Ясно,Ш,-13.0,768.0,Ясно,Ш
2010-02-06,-10.0,767,Ясно,СЗ 1м/с,-16.0,767.0,Ясно,СЗ 1м/с
2010-02-07,-11.0,767,Ясно,З 1м/с,-16.0,767.0,Ясно,З 1м/с
2010-02-08,-13.0,767,Переменная облачность,В 2м/с,-15.0,767.0,Малооблачно,В 2м/с
2010-02-09,-14.0,770,Ясно,В 4м/с,-16.0,770.0,Ясно,В 4м/с
2010-02-10,-15.0,774,Ясно,ЮВ 2м/с,-18.0,775.0,Ясно,ЮВ 2м/с
2010-02-11,-16.0,776,Ясно,ЮВ 2м/с,-19.0,776.0,Ясно,ЮВ 2м/с
2010-02-12,-12.0,776,Ясно,В 1м/с,-16.0,776.0,Ясно,В 1м/с
2010-02-13,-10.0,773,Пасмурно,З 1м/с,-15.0,770.0,Ясно,З 1м/с
2010-02-14,-10.0,764,Малооблачно,В 3м/с,-13.0,761.0,Ясно,В 3м/с
2010-02-15,-10.0,752,Пасмурно,ЮВ 3м/с,-9.0,749.0,Пасмурно,ЮВ 3м/с
2010-02-16,-7.0,740,Пасмурно,В 2м/с,-7.0,736.0,Пасмурно,В 2м/с
2010-02-17,-6.0,740,Ясно,СЗ 4м/с,-10.0,743.0,Пасмурно,СЗ 4м/с
2010-02-18,-9.0,751,Ясно,З 1м/с,-14.0,751.0,Ясно,З 1м/с
2010-02-19,-11.0,746,Переменная облачность,З 3м/с,-12.0,748.0,Малооблачно,З 3м/с
2010-02-20,-4.0,745,Пасмурно,З 2м/с,-8.0,746.0,Пасмурно,З 2м/с
2010-02-21,-12.0,743,Пасмурно,В 3м/с,-12.0,743.0,Пасмурно,В 3м/с
2010-02-22,-9.0,743,Пасмурно,В 4м/с,-10.0,743.0,Пасмурно,В 4м/с
2010-02-23,-7.0,743,Пасмурно,В 3м/с,-8.0,745.0,Пасмурно,В 3м/с
2010-02-24,-5.0,746,Пасмурно,СВ 2м/с,-6.0,747.0,Переменная облачность,СВ 2м/с
2010-02-25,-3.0,749,Пасмурно,Ш,-3.0,750.0,Пасмурно,Ш
2010-02-26,-3.0,754,Пасмурно,Ш,-5.0,755.0,Пасмурно,Ш
2010-02-27,-3.0,755,Переменная облачность,ЮЗ 2м/с,-7.0,755.0,Малооблачно,ЮЗ 2м/с
2010-02-28,-6.0,755,Переменная облачность,СЗ 2м/с,-10.0,756.0,Переменная облачность,СЗ 2м/с
2010-03-01,-8.0,758,Пасмурно,В 1м/с,-10.0,758.0,Ясно,В 1м/с
2010-03-02,-6.0,755,Пасмурно,В 3м/с,-8.0,753.0,Пасмурно,В 3м/с
2010-03-03,-4.0,752,Пасмурно,В 1м/с,-5.0,752.0,Пасмурно,В 1м/с
2010-03-04,-4.0,750,Пасмурно,ЮВ 2м/с,-6.0,748.0,Переменная облачность,ЮВ 2м/с
2010-03-05,0.0,747,Переменная облачность,ЮЗ 2м/с,-4.0,750.0,Ясно,ЮЗ 2м/с
2010-03-06,-5.0,753,Переменная облачность,В 2м/с,-6.0,752.0,Пасмурно,В 2м/с
2010-03-07,-4.0,749,Пасмурно,В 2м/с,-4.0,747.0,Пасмурно,В 2м/с
2010-03-08,-3.0,740,Пасмурно,С 1м/с,-5.0,742.0,Пасмурно,С 1м/с
2010-03-09,-6.0,749,Ясно,СЗ 2м/с,-11.0,750.0,Ясно,СЗ 2м/с
2010-03-10,-4.0,751,Пасмурно,ЮЗ 2м/с,-8.0,750.0,Переменная облачность,ЮЗ 2м/с
2010-03-11,-3.0,746,Пасмурно,З 4м/с,-4.0,749.0,Переменная облачность,З 4м/с
2010-03-12,-1.0,751,Пасмурно,Ю 2м/с,-5.0,749.0,Переменная облачность,Ю 2м/с
2010-03-13,0.0,737,Пасмурно,ЮЗ 4м/с,-1.0,738.0,Пасмурно,ЮЗ 4м/с
2010-03-14,0.0,738,Переменная облачность,З 2м/с,-2.0,738.0,Пасмурно,З 2м/с
2010-03-15,0.0,742,Малооблачно,ЮЗ 4м/с,-4.0,744.0,Ясно,ЮЗ 4м/с
2010-03-16,1.0,738,Пасмурно,ЮЗ 3м/с,-4.0,740.0,Пасмурно,ЮЗ 3м/с
2010-03-17,-5.0,746,Малооблачно,З 3м/с,-7.0,748.0,Пасмурно,З 3м/с
2010-03-18,-4.0,754,Ясно,ЮЗ 2м/с,-10.0,755.0,Ясно,ЮЗ 2м/с
2010-03-19,-7.0,755,Ясно,З 4м/с,-11.0,755.0,Переменная облачность,З 4м/с
2010-03-20,-2.0,746,Пасмурно,ЮЗ 2м/с,-4.0,749.0,Переменная облачность,ЮЗ 2м/с
2010-03-21,3.0,746,Пасмурно,ЮЗ 1м/с,1.0,745.0,Пасмурно,ЮЗ 1м/с
2010-03-22,3.0,741,Пасмурно,З 3м/с,2.0,739.0,Пасмурно,З 3м/с
2010-03-23,2.0,744,Ясно,СЗ 4м/с,-3.0,749.0,Ясно,СЗ 4м/с
2010-03-24,1.0,749,Переменная облачность,ЮЗ 4м/с,-1.0,747.0,Переменная облачность,ЮЗ 4м/с
2010-03-25,0.0,749,Переменная облачность,С 2м/с,-4.0,752.0,Ясно,С 2м/с
2010-03-26,0.0,758,Переменная облачность,СЗ 3м/с,-4.0,759.0,Ясно,СЗ 3м/с
2010-03-27,1.0,758,Пасмурно,З 5м/с,-2.0,758.0,Пасмурно,З 5м/с
2010-03-28,4.0,758,Ясно,Ю 2м/с,-1.0,758.0,Ясно,Ю 2м/с
2010-03-29,5.0,758,Ясно,В 2м/с,0.0,758.0,Ясно,В 2м/с
2010-03-30,5.0,757,Пасмурно,В 2м/с,2.0,757.0,Пасмурно,В 2м/с
2010-03-31,8.0,757,Пасмурно,ЮВ 2м/с,4.0,757.0,Малооблачно,ЮВ 2м/с
2010-04-01,10.0,757,Малооблачно,В 3м/с,6.0,758.0,Ясно,В 3м/с
2010-04-02,9.0,759,Ясно,ЮВ 2м/с,5.0,759.0,Ясно,ЮВ 2м/с
2010-04-03,8.0,758,Малооблачно,С 2м/с,6.0,757.0,Ясно,С 2м/с
2010-04-04,12.0,757,Малооблачно,СВ 2м/с,7.0,756.0,Ясно,СВ 2м/с
2010-04-05,11.0,756,Малооблачно,СВ 2м/с,8.0,755.0,Ясно,СВ 2м/с
2010-04-06,12.0,755,Пасмурно,СВ 3м/с,,,Неизвестно,
2010-04-07,4.0,759,Пасмурно,В 3м/с,1.0,760.0,Переменная облачность,В 3м/с
2010-04-08,4.0,761,Пасмурно,В 3м/с,0.0,761.0,Ясно,В 3м/с
2010-04-09,6.0,758,Ясно,В 2м/с,3.0,757.0,Ясно,В 2м/с
2010-04-10,9.0,755,Малооблачно,В 3м/с,5.0,755.0,Ясно,В 3м/с
2010-04-11,9.0,754,Ясно,С 3м/с,5.0,753.0,Ясно,С 3м/с
2010-04-12,12.0,753,Пасмурно,СВ 3м/с,7.0,753.0,Малооблачно,СВ 3м/с
2010-04-13,9.0,752,Пасмурно,СЗ 2м/с,4.0,752.0,Пасмурно,СЗ 2м/с
2010-04-14,8.0,749,Переменная облачность,СЗ 3м/с,2.0,751.0,Ясно,СЗ 3м/с
2010-04-15,11.0,752,Переменная облачность,ЮЗ 2м/с,8.0,751.0,Пасмурно,ЮЗ 2м/с
2010-04-16,13.0,751,Пасмурно,З 2м/с,9.0,752.0,Пасмурно,З 2м/с
2010-04-17,17.0,752,Пасмурно,Ю 3м/с,10.0,752.0,Пасмурно,Ю 3м/с
2010-04-18,13.0,748,Пасмурно,ЮЗ 1м/с,11.0,750.0,Пасмурно,ЮЗ 1м/с
2010-04-19,17.0,749,Пасмурно,СЗ 3м/с,12.0,750.0,Ясно,СЗ 3м/с
2010-04-20,20.0,750,Пасмурно,ЮЗ 3м/с,16.0,751.0,Пасмурно,ЮЗ 3м/с
2010-04-21,21.0,751,Ясно,ЮВ 2м/с,17.0,750.0,Ясно,ЮВ 2м/с
2010-04-22,23.0,747,Малооблачно,Ю 4м/с,19.0,746.0,Малооблачно,Ю 4м/с
2010-04-23,18.0,748,Пасмурно,З 4м/с,13.0,752.0,Пасмурно,З 4м/с
2010-04-24,14.0,758,Пасмурно,ЮЗ 3м/с,10.0,758.0,Пасмурно,ЮЗ 3м/с
2010-04-25,17.0,752,Ясно,ЮЗ 3м/с,12.0,749.0,Малооблачно,ЮЗ 3м/с
2010-04-26,11.0,749,Пасмурно,С 3м/с,4.0,749.0,Малооблачно,С 3м/с
2010-04-27,5.0,750,Пасмурно,СВ 2м/с,1.0,752.0,Переменная облачность,СВ 2м/с
2010-04-28,11.0,749,Пасмурно,СЗ 5м/с,8.0,749.0,Ясно,СЗ 5м/с
2010-04-29,15.0,747,Пасмурно,З 4м/с,10.0,748.0,Пасмурно,З 4м/с
2010-04-30,17.0,751,Малооблачно,ЮЗ 2м/с,14.0,750.0,Ясно,ЮЗ 2м/с
2010-05-01,17.0,752,Пасмурно,Ю 3м/с,15.0,752.0,Ясно,Ю 3м/с
2010-05-02,20.0,753,Пасмурно,З 3м/с,19.0,752.0,Пасмурно,З 3м/с
2010-05-03,21.0,754,Ясно,З 2м/с,21.0,754.0,Ясно,З 2м/с
2010-05-04,26.0,755,Ясно,ЮЗ 3м/с,18.0,755.0,Ясно,ЮЗ 3м/с
2010-05-05,28.0,754,Ясно,З 1м/с,19.0,752.0,Ясно,З 1м/с
2010-05-06,29.0,752,Малооблачно,СЗ 2м/с,21.0,752.0,Ясно,СЗ 2м/с
2010-05-07,30.0,751,Малооблачно,З 2м/с,24.0,750.0,Ясно,З 2м/с
2010-05-08,27.0,753,Ясно,СВ 3м/с,20.0,753.0,Ясно,СВ 3м/с
2010-05-09,26.0,751,Пасмурно,В 3м/с,22.0,751.0,Пасмурно,В 3м/с
2010-05-10,24.0,752,Ясно,В 4м/с,19.0,752.0,Ясно,В 4м/с
2010-05-11,24.0,755,Ясно,В 3м/с,19.0,756.0,Ясно,В 3м/с
2010-05-12,25.0,755,Пасмурно,ЮВ 2м/с,21.0,753.0,Малооблачно,ЮВ 2м/с
2010-05-13,22.0,754,Пасмурно,ЮВ 2м/с,18.0,753.0,Ясно,ЮВ 2м/с
2010-05-14,25.0,751,Переменная облачность,ЮВ 6м/с,16.0,752.0,Пасмурно,ЮВ 6м/с
2010-05-15,20.0,752,Переменная облачность,В 3м/с,19.0,752.0,Переменная облачность,В 3м/с
2010-05-16,26.0,750,Малооблачно,ЮВ 2м/с,20.0,749.0,Ясно,ЮВ 2м/с
2010-05-17,26.0,747,Малооблачно,СЗ 1м/с,23.0,746.0,Ясно,СЗ 1м/с
2010-05-18,21.0,746,Переменная облачность,СВ 2м/с,17.0,747.0,Пасмурно,СВ 2м/с
2010-05-19,22.0,746,Малооблачно,С 2м/с,16.0,746.0,Пасмурно,С 2м/с
