"Параметр","Значение"
"Имя файла","пред_samara_weather_201001-201901.csv"
"Количество строк","3310"
"Количество столбцов","31"
"Начальная дата","2010-01-1"
"Конечная дата","2019-01-9"
"Дата","Тип: object, Уникальных значений: 3310, Примеры: 2011-06-23, 2010-07-23, 2013-05-24, 2016-09-23, 2010-10-21"
"Температура (день)","Тип: float64, Уникальных значений: 65, Примеры: 12.0, 27.0, 28.0, 26.0, 23.0"
"Давление (день)","Тип: float64, Уникальных значений: 56, Примеры: 757.0, 752.0, 755.0, 752.0, 760.0"
"Температура (вечер)","Тип: float64, Уникальных значений: 62, Примеры: 21.0, 25.0, -12.0, -10.0, 3.0"
"Давление (вечер)","Тип: float64, Уникальных значений: 56, Примеры: 747.0, 743.0, 743.0, 752.0, 747.0"
"Облачность (день)-Ясно","Тип: int64, Уникальных значений: 2, Примеры: 1, 0"
"Облачность (день)-Малооблачно","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Облачность (день)-Переменная облачность","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Облачность (день)-Пасмурно","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Облачность (вечер)-Ясно","Тип: int64, Уникальных значений: 2, Примеры: 0, 1"
"Облачность (вечер)-Малооблачно","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Облачность (вечер)-Переменная облачность","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Облачность (вечер)-Пасмурно","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (день) (м/с)","Тип: float64, Уникальных значений: 8, Примеры: 2.0, 3.0, 2.0, 1.0, 2.0"
"Ветер (день)-С","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (день)-СВ","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (день)-В","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (день)-ЮВ","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (день)-Ю","Тип: int64, Уникальных значений: 2, Примеры: 0, 1"
"Ветер (день)-ЮЗ","Тип: int64, Уникальных значений: 2, Примеры: 0, 1"
"Ветер (день)-З","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (день)-СЗ","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер) (м/с)","Тип: float64, Уникальных значений: 8, Примеры: 2.0, 2.0, 2.0, 4.0, 2.0"
"Ветер (вечер)-С","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер)-СВ","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер)-В","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер)-ЮВ","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер)-Ю","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер)-ЮЗ","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер)-З","Тип: int64, Уникальных значений: 2, Примеры: 1, 1"
"Ветер (вечер)-СЗ","Тип: int64, Уникальных значений: 2, Примеры: 0, 1"
